"date","ASIANPAINT.NS.Adjusted"
2024-03-19,2783.35278320312
2024-03-20,2793.0419921875
2024-03-21,2789.33422851562
2024-03-22,2809.45483398438
2024-03-26,2782.90771484375
2024-03-27,2798.57885742188
2024-03-28,2814.64575195312
2024-04-01,2838.62231445312
2024-04-02,2841.78588867188
2024-04-03,2836.99096679688
2024-04-04,2885.388671875
2024-04-05,2850.931640625
2024-04-08,2859.38525390625
2024-04-09,2824.92822265625
2024-04-10,2864.08178710938
2024-04-12,2822.30810546875
2024-04-15,2812.32202148438
2024-04-16,2798.08447265625
2024-04-18,2776.03588867188
2024-04-19,2776.87646484375
2024-04-22,2809.80102539062
2024-04-23,2842.47827148438
2024-04-24,2835.40869140625
2024-04-25,2829.17993164062
2024-04-26,2812.07495117188
2024-04-29,2835.85375976562
2024-04-30,2843.466796875
2024-05-02,2941.8447265625
2024-05-03,2896.70971679688
2024-05-06,2899.08251953125
2024-05-07,2880.1484375
2024-05-08,2811.23461914062
2024-05-09,2679.53686523438
2024-05-10,2739.9970703125
2024-05-13,2846.77905273438
2024-05-14,2833.82666015625
2024-05-15,2781.96826171875
2024-05-16,2782.314453125
2024-05-17,2778.21118164062
2024-05-21,2819.638671875
2024-05-22,2853.20581054688
2024-05-23,2871.00268554688
2024-05-24,2842.330078125
2024-05-27,2839.90771484375
2024-05-28,2878.36889648438
2024-05-29,2867.443359375
2024-05-30,2851.1787109375
2024-05-31,2848.70703125
2024-06-03,2834.12329101562
2024-06-04,2825.42260742188
2024-06-05,2928.34887695312
2024-06-06,2872.041015625
2024-06-07,2894.6826171875
2024-06-10,2904.421875
2024-06-11,2897.4833984375
2024-06-12,2900.82788085938
2024-06-13,2905.0205078125
2024-06-14,2916.60083007812
2024-06-18,2913.50610351562
2024-06-19,2886.751953125
2024-06-20,2910.51123046875
2024-06-21,2885.90356445312
2024-06-24,2891.09448242188
2024-06-25,2853.55883789062
2024-06-26,2858.45043945312
2024-06-27,2875.92065429688
2024-06-28,2912.05859375
2024-07-01,2922.79028320312
2024-07-02,2920.59399414062
2024-07-03,2920.5439453125
2024-07-04,2929.8779296875
2024-07-05,2930.87622070312
2024-07-08,2893.19067382812
2024-07-09,2900.02905273438
2024-07-10,2991.32275390625
2024-07-11,3016.87890625
2024-07-12,2994.01806640625
2024-07-15,2951.44116210938
2024-07-16,2969.3603515625
2024-07-18,2926.53369140625
2024-07-19,2941.00903320312
2024-07-22,2929.27905273438
2024-07-23,2892.14282226562
2024-07-24,2907.81591796875
2024-07-25,2896.43530273438
2024-07-26,2945.10180664062
2024-07-29,2949.64404296875
2024-07-30,2999.90795898438
2024-07-31,3079.17211914062
2024-08-01,3094.04663085938
2024-08-02,3101.38403320312
2024-08-05,3088.10668945312
2024-08-06,3096.4423828125
2024-08-07,3096.14306640625
2024-08-08,3000.25732421875
2024-08-09,3035.39721679688
2024-08-12,3047.9755859375
2024-08-13,3018.37646484375
2024-08-14,3020.67236328125
2024-08-16,3042.93408203125
2024-08-19,3071.0361328125
2024-08-20,3097.88989257812
2024-08-21,3146.1572265625
2024-08-22,3181.1474609375
2024-08-23,3149.251953125
2024-08-26,3165.92358398438
2024-08-27,3160.7822265625
2024-08-28,3120.15185546875
2024-08-29,3110.5185546875
2024-08-30,3121.44970703125
2024-09-02,3145.55834960938
2024-09-03,3149.45166015625
2024-09-04,3226.1201171875
2024-09-05,3232.708984375
2024-09-06,3268.09814453125
2024-09-09,3275.13623046875
2024-09-10,3289.41186523438
2024-09-11,3361.68774414062
2024-09-12,3377.4609375
2024-09-13,3352.30395507812
2024-09-16,3330.09204101562
2024-09-17,3307.13134765625
2024-09-18,3269.04663085938
2024-09-19,3288.2138671875
2024-09-20,3301.29125976562
2024-09-23,3271.841796875
2024-09-24,3242.84155273438
2024-09-25,3239.19775390625
2024-09-26,3271.44262695312
2024-09-27,3305.0849609375
2024-09-30,3323.40356445312
2024-10-01,3271.7421875
2024-10-03,3143.9111328125
2024-10-04,3067.24243164062
2024-10-07,3057.01000976562
2024-10-08,3082.76611328125
2024-10-09,3073.58178710938
2024-10-10,3053.86547851562
2024-10-11,3032.0029296875
2024-10-14,3033.94946289062
2024-10-15,3061.85180664062
2024-10-16,3076.826171875
2024-10-17,3050.62109375
2024-10-18,2987.03002929688
2024-10-21,3043.982421875
2024-10-22,3001.705078125
2024-10-23,2984.58422851562
2024-10-24,2966.91455078125
2024-10-25,2952.9384765625
2024-10-28,2996.71362304688
2024-10-29,2987.72900390625
2024-10-30,2991.52221679688
2024-10-31,2930.62670898438
2024-11-01,2934.81958007812
2024-11-04,2910.3115234375
2024-11-05,2882.35961914062
2024-11-06,2892.34228515625
2024-11-07,2837.98559570312
2024-11-08,2764.71118164062
2024-11-11,2538.74853515625
2024-11-12,2470.615234375
2024-11-13,2466.27270507812
2024-11-14,2478.90087890625
2024-11-18,2479.44995117188
2024-11-19,2483.69995117188
2024-11-21,2428.14990234375
2024-11-22,2472.19995117188
2024-11-25,2459.69995117188
2024-11-26,2505
2024-11-27,2491.89990234375
2024-11-28,2458.05004882812
2024-11-29,2479.60009765625
2024-12-02,2479.05004882812
2024-12-03,2469.39990234375
2024-12-04,2459.44995117188
2024-12-05,2452.19995117188
2024-12-06,2429.69995117188
2024-12-09,2391.85009765625
2024-12-10,2388.89990234375
2024-12-11,2417.30004882812
2024-12-12,2389.55004882812
2024-12-13,2407.64990234375
2024-12-16,2402.25
2024-12-17,2356
2024-12-18,2345.44995117188
2024-12-19,2291.85009765625
2024-12-20,2282.35009765625
2024-12-23,2279.19995117188
2024-12-24,2284
2024-12-26,2262.39990234375
2024-12-27,2271.39990234375
2024-12-30,2288.25
2024-12-31,2281.35009765625
2025-01-01,2304.64990234375
2025-01-02,2343.25
2025-01-03,2335.94995117188
2025-01-06,2267.14990234375
2025-01-07,2292.60009765625
2025-01-08,2334.35009765625
2025-01-09,2350.19995117188
2025-01-10,2320.75
2025-01-13,2252.64990234375
2025-01-14,2239.94995117188
2025-01-15,2229.69995117188
2025-01-16,2215.60009765625
2025-01-17,2261
2025-01-20,2280.55004882812
2025-01-21,2260.35009765625
2025-01-22,2262.10009765625
2025-01-23,2276.35009765625
2025-01-24,2262.39990234375
2025-01-27,2251.5
2025-01-28,2241.80004882812
2025-01-29,2223.14990234375
2025-01-30,2249.85009765625
2025-01-31,2300.80004882812
2025-02-01,2351.14990234375
2025-02-03,2292.25
2025-02-04,2354.35009765625
2025-02-05,2275.19995117188
2025-02-06,2263.39990234375
2025-02-07,2271
2025-02-10,2270.14990234375
2025-02-11,2240.85009765625
2025-02-12,2228.25
2025-02-13,2236.39990234375
2025-02-14,2231.30004882812
2025-02-17,2250.85009765625
2025-02-18,2237.60009765625
2025-02-19,2239.10009765625
2025-02-20,2249.05004882812
2025-02-21,2257.60009765625
2025-02-24,2246.19995117188
2025-02-25,2224.75
2025-02-27,2213.64990234375
2025-02-28,2179.75
2025-03-03,2166.39990234375
2025-03-04,2132.10009765625
2025-03-05,2164.14990234375
2025-03-06,2267.69995117188
2025-03-07,2270
2025-03-10,2278.60009765625
2025-03-11,2287.39990234375
2025-03-12,2251.30004882812
2025-03-13,2231.30004882812
2025-03-17,2219.55004882812
2025-03-18,2219.55004882812
2025-03-19,2280.69995117188
2025-03-20,2287.19995117188
2025-03-21,2300.39990234375
2025-03-24,2322.5
2025-03-25,2330.75
2025-03-26,2323.14990234375
2025-03-27,2338.10009765625
2025-03-28,2340.64990234375
